solved,problem-code,problem-name,category,points,ac-rate,users
1,gnso_bg23,Giải nén số,Cơ bản,"1,00","44,4%",51
1,dayso4,Dãy số,Nâng cao,"1,00","29,4%",28
1,ktlientiep_na23,Ký tự liên tiếp,Cơ bản,"1,00","31,6%",34
1,tdaycon_na23,Tổng dãy con,Nâng cao,"1,00","22,0%",39
1,tcso_ld23,Tổng các chữ số,Cơ bản,"1,00","54,3%",37
0,bthso_ld23,Bậc thang số,Nâng cao,"1,00","52,8%",13
1,tongln_hn23,Tổng lớn nhất,Nâng cao,"1,00","60,3%",103
1,mdochoi_hn23,Mua đồ chơi,Nâng cao,"1,00","21,5%",62
1,dtgsk_hn23,Đếm tam giác,Vận dụng linh hoạt,"1,00","54,8%",106
1,tgso_hn23,Tam giác số,Vận dụng linh hoạt,"1,00","49,7%",69
1,dtgck_hn23,Đếm tam giác,Vận dụng linh hoạt,"1,00","34,4%",56
1,sbenhat_hn23,Số bé nhất,Vận dụng linh hoạt,"1,00","15,3%",25
1,ak_sk23,Ăn kẹo,Cơ bản,"1,00","58,0%",86
1,dso_sk23,Dãy số,Nâng cao,"1,00","19,6%",32
1,ktuthap_sk23,Kim tự tháp,Vận dụng linh hoạt,"1,00","15,2%",48
1,vienbi_mbn23,Viên bi,Cơ bản,"1,00","32,8%",65
1,sdxnon_mbn23,Số đối xứng dạng nón,Vận dụng linh hoạt,"1,00","20,3%",26
1,caikeo_mtr23,Cái kẹo,Cơ bản,"1,00","37,0%",73
1,demcs_mtr23,Đếm chữ số,Vận dụng linh hoạt,"1,00","22,8%",37
1,nhban_mtr23,Nhân bản,Vận dụng linh hoạt,"1,00","16,2%",20
1,sox_qg23,Số X,Vận dụng linh hoạt,"1,00","20,8%",37
1,xoaso_qg23,Xóa số,Vận dụng linh hoạt,"1,00","36,7%",34
-1,xdung_qg23,Xây dựng,Vận dụng linh hoạt,"1,00","25,8%",19
1,tiso_gib24,Tỉ số,Cơ bản,"1,00","23,2%",55
1,tccso_gib24,Tổng các chữ số,Nâng cao,"1,00","14,5%",18
1,qlds_gib24,Quy luật dãy số,Nâng cao,"1,00","17,8%",34
1,3stn_lt23,Ba số tự nhiên,Cơ bản,"1,00","66,3%",114
1,4stn_lt23,Bốn số tự nhiên,Cơ bản,"1,00","34,5%",62
0,hieucs_lt23,Hiệu chữ số,Cơ bản,"1,00","42,9%",56
1,qlds_lt23,Quy luật dãy số,Nâng cao,"1,00","20,5%",28
1,5stn_ts24,Năm số tự nhiên,Cơ bản,"1,00","58,4%",87
1,skhb_ts24,Số khác biệt,Cơ bản,"1,00","79,9%",103
0,vt_ts24,Vận tốc,Cơ bản,"1,00","23,2%",54
1,ds_ts24,Dãy số,Vận dụng linh hoạt,"1,00","19,8%",47
0,ds_hc24,Đếm số,Nâng cao,"1,00","40,8%",35
1,snhnh_hc24,Số nhỏ nhất,Vận dụng linh hoạt,"1,00","12,8%",24
0,soln,Số lớn nhất,Cơ bản,"1,00","37,1%",41
1,tichln2,Tích lớn nhất,Cơ bản,"1,00","52,6%",38
1,cscong,Cấp số cộng,Vận dụng linh hoạt,"1,00","29,2%",26
1,sngto,Số nguyên tố,Nâng cao,"1,00","44,0%",78
0,khoaso,Khóa số,Nâng cao,"1,00","10,4%",5
1,akhtv,Ăn khế trả vàng,Vận dụng linh hoạt,"1,00","54,5%",58
1,ghso_hv24,Ghép số,Cơ bản,"1,00","77,0%",125
1,cstc_hv24,Chữ số tận cùng,Cơ bản,"1,00","24,8%",82
1,cayxanh_hv24,Cây xanh,Nâng cao,"1,00","28,3%",48
1,chnh_lc24,Chia nhóm,Vận dụng linh hoạt,"1,00","25,8%",77
1,xepsach_lc24,Xếp sách,Cơ bản,"1,00","59,5%",91
1,ttds_lc24,Tính tổng dãy số,Cơ bản,"1,00","45,8%",67
1,hoandoi_str24,Hoán đổi,Cơ bản,"1,00","47,1%",62
0,xepdiem_str24,Xếp diêm,Vận dụng linh hoạt,"1,00","24,4%",16
1,hkpd_thk24,Hội khỏe Phù Đổng,Cơ bản,"1,00","26,8%",54
1,xchcai_thk24,Xếp chữ cái,Cơ bản,"1,00","52,5%",48
1,doiqua_thk24,Đổi quà,Vận dụng linh hoạt,"1,00","17,3%",52
1,dayso_ntl24,Dãy số,Nâng cao,"1,00","37,9%",41
1,ngaythang_ntl24,Ngày tháng,Cơ bản,"1,00","17,8%",28
1,amstrong_ntl24,Số Amstrong,Nâng cao,"1,00","39,1%",20
1,danhca,Đánh cá,Cơ bản,"1,00","20,2%",15
1,thumay_bg24,Thứ mấy,Cơ bản,"1,00","39,4%",128
1,tdayso_bg24,Tổng dãy số,Nâng cao,"1,00","16,9%",74
1,bdso_bg24,Biến đổi số,Vận dụng linh hoạt,"1,00","18,7%",60
1,tchanle_bn_qb_hy24,Tổng chẵn lẻ,Nâng cao,"1,00","18,9%",23
1,tddep_bn_qb_hy24,Thời điểm đẹp,Vận dụng linh hoạt,"1,00","41,4%",91
1,schtron_bn_qb_hy24,Số chẵn tròn,Vận dụng linh hoạt,"1,00","12,6%",21
1,cscuoicung_dn24,Chữ số cuối cùng,Vận dụng linh hoạt,"1,00","27,3%",92
1,xaucon_dn24,Xâu con,Cơ bản,"1,00","41,9%",73
1,bxo_dn24,Bảng xoắn ốc,Vận dụng linh hoạt,"1,00","44,2%",68
1,thoigian_hd_bp24,Thời gian,Cơ bản,"1,00","42,7%",80
1,dschl_hd_bp24,Dãy số chẵn lẻ,Cơ bản,"1,00","32,8%",71
1,mkwifi_hd_bp24,Mật khẩu Wifi,Nâng cao,"1,00","40,5%",73
1,rutthe_na_kh24,Rút thẻ,Vận dụng linh hoạt,"1,00","31,3%",40
1,vongso_na_kh24,Vòng số,Nâng cao,"1,00","44,3%",71
1,sox2_na_kh24,Số x2,Vận dụng linh hoạt,"1,00","14,9%",28
1,dtgian_qna24,Đổi thời gian,Cơ bản,"1,00","28,2%",75
1,hv_qna24,Hình vuông,Nâng cao,"1,00","22,4%",61
1,tso_qna24,Tách số,Vận dụng linh hoạt,"1,00","28,3%",46
1,pi_qna24,Số pi gần đúng,Vận dụng linh hoạt,"1,00","38,8%",44
1,chk_qni24,Chia kẹo,Cơ bản,"1,00","47,9%",123
1,dayso_qni24,Dãy số,Cơ bản,"1,00","50,9%",113
1,matkhau_qni24,Mật khẩu,Cơ bản,"1,00","31,6%",86
1,timbi_qni24,Tìm bi,Vận dụng linh hoạt,"1,00","41,8%",68
1,chqtinh_qtr24,Chọn que tính,Nâng cao,"1,00","43,5%",75
1,dso_qtr24,Dãy số,Nâng cao,"1,00","21,8%",67
1,timkt_qtr24,Tìm kí tự,Nâng cao,"1,00","28,2%",57
1,dngay_tb24,Đếm ngày,Cơ bản,"1,00","29,6%",126
1,daythang_tb24,Dãy tháng,Nâng cao,"1,00","35,5%",121
0,sonam_tb24,Số năm,Vận dụng linh hoạt,"1,00","16,8%",31
1,timvitri_th24,Tìm vị trí,Vận dụng linh hoạt,"1,00","47,3%",24
1,timso_vt24,Tìm số,Vận dụng linh hoạt,"1,00","24,7%",45
1,ss2so,So sánh 2 số,Cơ bản,"1,00","33,5%",76
1,t2sonn,Tổng 2 số nhỏ nhất,Cơ bản,"1,00","51,5%",33
1,tong4p5,Tổng 4 số nhỏ nhất,Cơ bản,"1,00","76,7%",46
1,maxmin,"Số lớn nhất, bé nhất",Cơ bản,"1,00","50,0%",54
1,dh_kv24,Đồng hồ,Nâng cao,"1,00","26,4%",34
1,thangmay,Thang máy,Cơ bản,"1,00","26,9%",22
1,trchso,Trò chơi với những con số,Cơ bản,"1,00","43,5%",26
1,xepgach,Xếp gạch,Nâng cao,"1,00","25,4%",9
1,nhngoinha,Những ngôi nhà có ánh nắng,Vận dụng linh hoạt,"1,00","29,9%",25
1,xephcn,Xếp hình chữ nhật,Nâng cao,"1,00","42,9%",12
1,tiads,Tỉa dãy số,Cơ bản,"1,00","52,9%",32
1,dotuoi,Độ tuổi,Cơ bản,"1,00","51,4%",47
0,chiectat,Những chiếc tất,Cơ bản,"1,00","42,9%",9
1,botoc,Bộ tộc,Nâng cao,"1,00","27,9%",10
1,taxi,Taxi,Vận dụng linh hoạt,"1,00","17,4%",6
1,xoaday,Xóa dãy,Vận dụng linh hoạt,"1,00","55,9%",17
1,capdoi,Đi tìm cặp đôi,Cơ bản,"1,00","53,5%",20
1,tinhbao,Tin tình báo,Nâng cao,"1,00","46,2%",5
1,dietcodai,Diệt cỏ dại,Cơ bản,"1,00","52,1%",29
1,chldiemso,Chênh lệch điểm số,Nâng cao,"1,00","48,4%",14
0,canchi,Thiên can địa chi,Cơ bản,"1,00","52,5%",21
1,sole,Số lẻ,Cơ bản,"1,00","32,8%",38
1,tongkpt,Tổng k số cuối,Cơ bản,"1,00","49,5%",44
1,tbcsochan,Trung bình cộng số chẵn,Cơ bản,"1,00","36,1%",37
1,dchanle,Dãy chẵn lẻ,Cơ bản,"1,00","56,5%",25
1,hinhphat,Hình phạt,Cơ bản,"1,00","79,6%",29
0,ngaylecb,Ngày lễ công bằng,Cơ bản,"1,00","73,5%",44
0,mecung,Mê cung,Vận dụng linh hoạt,"1,00","13,3%",2
1,giayin,Giấy in,Cơ bản,"1,00","71,3%",75
1,chogao,Chở gạo,Cơ bản,"1,00","68,9%",39
1,chiatao,Chia táo,Cơ bản,"1,00","53,2%",54
1,thomay,Thợ may,Cơ bản,"1,00","87,3%",49
0,mauchu_tk22,Màu chữ,Cơ bản,"1,00","35,2%",44
1,tong3k_tk22,Tổng 3K,Cơ bản,"1,00","67,3%",65
0,sxep_dn23,Sắp xếp,Cơ bản,"1,00","28,2%",62
0,chienca,Chiên cá,Cơ bản,"1,00","20,6%",19
1,sxmanhinh,Sản xuất màn hình,Cơ bản,"1,00","37,1%",12
1,nguoimay,Người máy,Cơ bản,"1,00","50,0%",39
1,mb_sk24,Mua bóng,Cơ bản,"1,00","51,7%",99
1,chia5,Chia 5,Cơ bản,"1,00","56,3%",74
1,xoaso_na21,Xóa số,Nâng cao,"1,00","34,8%",24
1,chiahet_hn_sk24,Chia hết,Nâng cao,"1,00","21,0%",70
1,thumay_th24,Thứ mấy?,Cơ bản,"1,00","32,6%",39
1,capso,Cặp số,Nâng cao,"1,00","60,3%",23
1,chiabanh,Chia banh,Cơ bản,"1,00","46,9%",21
1,doigiay,Đôi giày,Cơ bản,"1,00","49,4%",35
1,hangrao,Hàng rào,Cơ bản,"1,00","83,8%",102
1,ghephinh,Ghép hình,Nâng cao,"1,00","59,3%",12
1,trcay,Trồng cây ăn quả,Cơ bản,"1,00","51,1%",22
1,xepdomino,Xếp domino,Cơ bản,"1,00","76,7%",39
1,sanbong,Sân bóng,Cơ bản,"1,00","36,8%",15
1,trchoiqs,Trò chơi quân sự,Nâng cao,"1,00","28,3%",10
1,hoichoxuan,Hội chợ xuân,Cơ bản,"1,00","57,6%",45
1,butchi,Mua bút chì,Cơ bản,"1,00","19,9%",92
1,stkm,Siêu thị khuyến mãi,Cơ bản,"1,00","13,4%",12
0,chiphi,Chi phí,Nâng cao,"1,00","33,3%",12
1,muakem,Mua kem,Cơ bản,"1,00","18,1%",12
1,kmsua,Khuyến mại sữa,Nâng cao,"1,00","41,0%",20
1,cauthang,Cầu thang,Cơ bản,"1,00","32,7%",32
1,scl,Sô-cô-la,Nâng cao,"1,00","23,1%",18
1,tongket,Tổng kết,Cơ bản,"1,00","43,8%",7
0,mungtuoi,Mừng tuổi,Cơ bản,"1,00","27,3%",19
0,hcn,Hình chữ nhật,Cơ bản,"1,00","38,2%",12
1,ghetso3,Ghét số 3,Cơ bản,"1,00","53,6%",41
1,lohong,Lỗ hổng,Cơ bản,"1,00","71,0%",21
1,quantri,Quản trị người dùng,Cơ bản,"1,00","48,1%",10
0,banhangol,Bán hàng online,Nâng cao,"1,00","48,5%",14
1,chiaphong,Chia phòng,Nâng cao,"1,00","19,3%",13
1,dso1,Dãy số lẻ,Cơ bản,"1,00","63,4%",69
1,dso2,Tổng từ 1 đến N,Cơ bản,"1,00","46,5%",128
1,dso3,Dãy chia hết cho 4,Cơ bản,"1,00","37,8%",28
1,dayso_bn23,Dãy số,Cơ bản,"1,00","47,3%",41
1,dayso8,Kiểm tra số trong dãy,Cơ bản,"1,00","58,8%",44
1,dayso9,Dãy chia hết cho 3,Cơ bản,"1,00","54,7%",50
1,dayso10,Dãy chia hết cho 5,Cơ bản,"1,00","47,2%",42
1,dayso11,Dãy từ a đến b,Cơ bản,"1,00","57,3%",60
1,sokdautien,Số k đầu tiên,Cơ bản,"1,00","46,6%",24
1,trchoidabong,Trò chơi đá bóng,Vận dụng linh hoạt,"1,00","27,6%",23
1,stamgiac,Diện tích tam giác,Vận dụng linh hoạt,"1,00","55,6%",15
1,ntsinhdoi,Số nguyên tố sinh đôi,Cơ bản,"1,00","15,4%",13
1,tonguoc,Tổng ước số,Cơ bản,"1,00","42,0%",25
1,doigio,Đổi giờ,Cơ bản,"1,00","44,6%",22
1,sdt,Số điện thoại,Cơ bản,"1,00","40,5%",15
1,tinhtong,Tính tổng,Cơ bản,"1,00","15,0%",8
1,xdxung,Xâu đối xứng,Cơ bản,"1,00","79,7%",46
1,mahoa,Mã hóa,Cơ bản,"1,00","89,7%",33
1,teptin,Tệp tin bài nộp,Cơ bản,"1,00","40,4%",37
1,t3so,Tổng 3 số,Cơ bản,"1,00","35,0%",56
1,pstoigian,Phân số tối giản,Cơ bản,"1,00","35,9%",20
1,somayman,Số may mắn,Cơ bản,"1,00","35,5%",32
1,msthuong,Mã số thưởng,Cơ bản,"1,00","76,1%",47
1,choicovua,Chơi cờ vua,Cơ bản,"1,00","47,7%",50
1,xaunhiphan,Xâu nhị phân,Cơ bản,"1,00","35,4%",25
1,bden,Bóng đèn,Nâng cao,"1,00","71,8%",24
1,xauloi,Xâu lỗi,Nâng cao,"1,00","39,2%",20
1,mahoamk,Mã hóa mật khẩu,Cơ bản,"1,00","67,6%",22
1,mmceasar,Mật mã Ceasar,Nâng cao,"1,00","47,1%",23
1,tinhdiemso,Tính điểm số,Vận dụng linh hoạt,"1,00","37,2%",13
1,xgiongnhau2,Xâu giống nhau 2,Vận dụng linh hoạt,"1,00","46,2%",11
1,xgiongnhau3,Xâu giống nhau 3,Vận dụng linh hoạt,"1,00","17,8%",6
1,tboiso,Tổng bội số,Cơ bản,"1,00","40,7%",21
1,tschan,Tổng số chẵn,Nâng cao,"1,00","56,0%",69
1,tschan2,Tổng số chẵn 2,Nâng cao,"1,00","38,6%",32
1,tgbi,Tam giác bi,Cơ bản,"1,00","72,9%",38
1,timbo,Tìm bò lạc,Cơ bản,"1,00","63,9%",40
1,muaco,Mua cỏ,Nâng cao,"1,00","76,2%",17
1,sonha,Số nhà,Cơ bản,"1,00","63,6%",32
0,vehv_mb22,Vẽ hình vuông,Cơ bản,"1,00","46,0%",40
1,daytbc,Dãy trung bình cộng,Vận dụng linh hoạt,"1,00","68,6%",23
1,cvtamgiac,Chu vi tam giác,Vận dụng linh hoạt,"1,00","57,6%",33
1,thaptrcay,Tháp trái cây,Vận dụng linh hoạt,"1,00","55,8%",23
0,ovuong_dn23,Ô vuông,Vận dụng linh hoạt,"1,00","70,4%",62
1,tvtle,Tổng vị trí lẻ,Nâng cao,"1,00","56,9%",29
-1,tdso,Tổng dãy số,Cơ bản,"1,00","30,3%",22
0,tomau_ict24,Tô màu,Vận dụng linh hoạt,"1,00","32,7%",23
1,demso1,Đếm số 1,Vận dụng linh hoạt,"1,00","24,5%",30
